,Incident ID,Incident Date,State,City Or County,Victims Injured,Victims Killed,Total Victims,Suspects Injured,Suspects Killed,Suspects Arrested,Total Suspects,Suspect Category,Total Incients,Casualty Category
0,2589765,"May 6, 2023",Ohio,Columbus,3,1,4,1,0,0,1,Single suspect,1,Low
1,2589804,"May 5, 2023",Mississippi,Natchez,2,2,4,0,0,0,0,No suspects,3,Low
2,2589790,"May 5, 2023",Mississippi,Vicksburg,4,0,4,0,0,0,0,No suspects,3,Low
3,2589699,"May 5, 2023",Mississippi,Ocean Springs,5,1,6,0,0,0,0,No suspects,3,Medium
4,2587918,"May 3, 2023",Illinois,Chicago,4,0,4,0,0,0,0,No suspects,2,Low
5,2587386,"May 3, 2023",Georgia,Atlanta,4,1,5,0,0,1,1,Single suspect,2,Medium
6,2586950,"May 2, 2023",Georgia,Stone Mountain,2,2,4,0,0,1,1,Single suspect,3,Low
7,2587288,"May 2, 2023",Florida,Lake Wales,0,4,4,0,1,0,1,Single suspect,3,Low
8,2588047,"May 2, 2023",Louisiana,Bossier City,2,2,4,0,0,1,1,Single suspect,3,Low
9,2584808,"April 30, 2023",Louisiana,Lafayette,5,1,6,0,0,0,0,No suspects,11,Medium
10,2584772,"April 30, 2023",Kentucky,Paducah,4,0,4,0,0,4,4,Multiple suspects,11,Low
11,2586872,"April 30, 2023",Oklahoma,Henryetta,0,6,6,0,1,0,1,Single suspect,11,Medium
12,2584779,"April 30, 2023",Oklahoma,Oklahoma City,3,1,4,0,0,0,0,No suspects,11,Low
13,2586747,"April 30, 2023",Nevada,Las Vegas (Enterprise),4,0,4,0,0,0,0,No suspects,11,Low
14,2584743,"April 30, 2023",Georgia,Athens,3,1,4,0,0,0,0,No suspects,11,Low
15,2584763,"April 30, 2023",Texas,Bryan,4,0,4,0,0,0,0,No suspects,11,Low
16,2585718,"April 30, 2023",California,Mojave,0,4,4,0,0,0,0,No suspects,11,Low
17,2584748,"April 30, 2023",Mississippi,Bay Saint Louis,4,2,6,0,0,1,1,Single suspect,11,Medium
18,2584930,"April 30, 2023",Massachusetts,Lawrence,5,1,6,0,0,0,0,No suspects,11,Medium
19,2585253,"April 30, 2023",Alabama,Birmingham,4,0,4,0,0,1,1,Single suspect,11,Low
20,2584240,"April 29, 2023",South Carolina,Columbia,9,0,9,0,0,2,2,Multiple suspects,2,Medium
21,2584711,"April 29, 2023",Washington,Auburn,4,0,4,0,0,0,0,No suspects,2,Low
22,2583589,"April 28, 2023",Pennsylvania,Philadelphia,1,3,4,0,0,2,2,Multiple suspects,2,Low
23,2584064,"April 28, 2023",Texas,Cleveland,0,5,5,0,0,1,1,Single suspect,2,Medium
24,2579179,"April 23, 2023",Texas,Jasper,11,0,11,0,0,4,4,Multiple suspects,1,Medium
25,2579262,"April 22, 2023",North Carolina,Winston Salem (Winston-salem),4,1,5,0,0,0,0,No suspects,1,Medium
26,2579441,"April 21, 2023",Georgia,Rockmart,4,0,4,0,0,0,0,No suspects,2,Low
27,2578168,"April 21, 2023",District of Columbia,Washington,8,0,8,0,0,0,0,No suspects,2,Medium
28,2577642,"April 20, 2023",Connecticut,Hartford,3,1,4,0,0,0,0,No suspects,2,Low
29,2577693,"April 20, 2023",New Jersey,Trenton,3,1,4,0,0,0,0,No suspects,2,Low
30,2575621,"April 18, 2023",Maine,Bowdoin,3,4,7,0,0,1,1,Single suspect,2,Medium
31,2576366,"April 18, 2023",North Carolina,Fayetteville,3,1,4,0,0,1,1,Single suspect,2,Low
32,2574455,"April 17, 2023",Maryland,Baltimore,4,0,4,0,0,0,0,No suspects,1,Low
33,2574091,"April 16, 2023",Mississippi,Biloxi,5,0,5,0,0,0,0,No suspects,2,Medium
34,2574324,"April 16, 2023",Georgia,Keysville,4,0,4,0,0,0,0,No suspects,2,Low
